Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2030,Y2050
"5000","World","5058","Enteric Fermentation","7225","CH4 emissions","gigagrams","65354.898600","66309.615200","67018.801400","67934.081300","69201.544400","70711.464200","72114.444300","73189.307700","73528.684900","73937.209400","74961.549600","76213.431400","77183.865700","79013.018500","80337.393700","81028.899000","81263.371400","81439.655900","81928.416100","82896.839600","83659.747600","84611.996500","85121.891800","85646.113700","86046.299600","86764.599300","86836.476900","87310.154200","88520.502600","89072.786700","89178.443700","88592.018500","88233.978200","88949.944500","89226.375500","89201.511600","87604.615400","87741.517300","87975.245400","88367.095900","88439.659900","89259.654100","90315.104500","91391.856300","92371.345600","93186.527800","93998.508900","94665.485000","94899.753200","94817.289100","95198.047800","95965.839700","96382.216800","96971.741700","97699.769100","98868.079200","99274.456400","99942.274600",,"109993.511300","122149.536800"
"5000","World","5058","Enteric Fermentation","7231","Emissions (CO2eq)","gigagrams","1372452.870700","1392501.919300","1407394.828700","1426615.707600","1453232.432200","1484940.747300","1514403.329400","1536975.461800","1544102.382400","1552681.396500","1574192.542100","1600482.059000","1620861.179500","1659273.388600","1687085.266800","1701606.879500","1706530.800000","1710232.773800","1720496.737300","1740833.631500","1756854.698900","1776851.925800","1787559.727900","1798568.388000","1806972.291100","1822056.585700","1823566.015700","1833513.237700","1858930.553900","1870528.520800","1872747.318100","1860432.388000","1852913.541500","1867948.835500","1873753.886200","1873231.743900","1839696.923700","1842571.863300","1847480.153900","1855709.013200","1857232.858300","1874452.736300","1896617.193500","1919228.982300","1939798.257800","1956917.083900","1973968.686300","1987975.184300","1992894.818000","1991163.072100","1999159.002900","2015282.634000","2024026.552700","2036406.575900","2051695.151200","2076229.663700","2084763.583500","2098787.766900",,"2309863.737700","2565140.272200"
"5000","World","5058","Enteric Fermentation","7244","Emissions (CO2eq) from CH4","gigagrams","1372452.870700","1392501.919300","1407394.828700","1426615.707600","1453232.432200","1484940.747300","1514403.329400","1536975.461800","1544102.382400","1552681.396500","1574192.542100","1600482.059000","1620861.179500","1659273.388600","1687085.266800","1701606.879500","1706530.800000","1710232.773800","1720496.737300","1740833.631500","1756854.698900","1776851.925800","1787559.727900","1798568.388000","1806972.291100","1822056.585700","1823566.015700","1833513.237700","1858930.553900","1870528.520800","1872747.318100","1860432.388000","1852913.541500","1867948.835500","1873753.886200","1873231.743900","1839696.923700","1842571.863300","1847480.153900","1855709.013200","1857232.858300","1874452.736300","1896617.193500","1919228.982300","1939798.257800","1956917.083900","1973968.686300","1987975.184300","1992894.818000","1991163.072100","1999159.002900","2015282.634000","2024026.552700","2036406.575900","2051695.151200","2076229.663700","2084763.583500","2098787.766900",,"2309863.737700","2565140.272200"
"5000","World","5059","Manure Management","7225","CH4 emissions","gigagrams","7178.174400","7345.053000","7390.509600","7375.429700","7460.923100","7500.307800","7713.314000","7777.124700","7764.873100","7814.545200","8140.923100","8260.154300","8335.143400","8433.535000","8397.692400","8343.372500","8500.591000","8618.313300","8776.221000","8981.554100","8968.762800","8971.926800","8979.610900","9088.742100","9117.484400","9210.041100","9178.238200","9202.122000","9269.615200","9262.698100","9255.117600","9085.590500","9021.580200","9052.969700","9023.667300","9015.149200","8847.516800","8869.060600","8883.476400","8888.209900","8860.501900","8951.184000","9024.670100","9059.063700","9131.256800","9240.823700","9319.451400","9412.706600","9445.674400","9466.433200","9479.286600","9579.884600","9584.176000","9690.562900","9768.114000","9860.787800","9861.710300","9863.798100",,"10478.013600","11238.478600"
"5000","World","5059","Manure Management","7231","Emissions (CO2eq)","gigagrams","250642.752300","255847.435500","258903.136900","259543.898500","264343.397500","268016.170000","275698.139600","278263.790400","277955.708600","279530.680900","289965.850500","295697.578200","299523.400800","303983.910800","304241.006300","302489.978000","305897.339200","309293.360200","313922.677500","319703.608400","319655.613900","320761.136600","322593.091500","326739.225400","328437.177100","332293.113200","332484.162400","332206.366400","334978.471300","335579.802000","336079.928100","330793.272800","329037.876400","330943.827000","331234.742900","331924.952400","320014.395100","320966.712800","321237.713900","322310.971400","319994.626500","321732.151100","322352.284500","322735.013800","324508.259500","327908.737300","329511.507100","333199.768600","333975.838700","334673.467200","333650.790000","336182.222100","335589.180700","338862.835100","341735.863800","344999.247300","345204.521600","347382.772900",,"388982.970900","428952.025800"
"5000","World","5059","Manure Management","7244","Emissions (CO2eq) from CH4","gigagrams","150741.662400","154246.113900","155200.701100","154884.024700","156679.384300","157506.463300","161979.594600","163319.619300","163062.334100","164105.448700","170959.384100","173463.239500","175038.011500","177104.234500","176351.540800","175210.821600","178512.411100","180984.580000","184300.640000","188612.635700","188344.018900","188410.463500","188571.828600","190863.583700","191467.173400","193410.863400","192743.003200","193244.563000","194661.918500","194516.659300","194357.469200","190797.401000","189453.184100","190112.363400","189497.013500","189318.132600","185797.853000","186250.272200","186553.004400","186652.407700","186070.540500","187974.864800","189518.071300","190240.337400","191756.392300","194057.296800","195708.479100","197666.838300","198359.162900","198795.097500","199065.018900","201177.576900","201267.695500","203501.821100","205130.395000","207076.543700","207095.915900","207139.759800",,"220038.286300","236008.051600"
"5000","World","5059","Manure Management","7243","Emissions (CO2eq) from N2O","gigagrams","99901.089900","101601.321600","103702.435900","104659.873800","107664.013200","110509.706700","113718.544900","114944.171100","114893.374500","115425.232200","119006.466500","122234.338800","124485.389300","126879.676300","127889.465500","127279.156400","127384.928100","128308.780200","129622.037500","131090.972800","131311.594900","132350.673200","134021.262800","135875.641700","136970.003700","138882.249800","139741.159200","138961.803400","140316.552900","141063.142600","141722.458900","139995.871800","139584.692300","140831.463700","141737.729400","142606.819700","134216.542100","134716.440600","134684.709500","135658.563600","133924.086000","133757.286300","132834.213200","132494.676400","132751.867200","133851.440600","133803.028000","135532.930300","135616.675800","135878.369700","134585.771100","135004.645200","134321.485100","135361.014000","136605.468800","137922.703600","138108.605700","140243.013200",,"168944.684500","192943.974200"
"5000","World","5059","Manure Management","7230","N2O emissions","gigagrams","322.261600","327.746200","334.524000","337.612500","347.303300","356.482900","366.834000","370.787600","370.623800","372.339500","383.891800","394.304300","401.565800","409.289300","412.546700","410.577900","410.919100","413.899300","418.135600","422.874100","423.585800","426.937700","432.326700","438.308500","441.838700","448.007300","450.777900","448.263900","452.634000","455.042400","457.169200","451.599600","450.273200","454.295000","457.218500","460.022000","432.956600","434.569200","434.466800","437.608300","432.013200","431.475100","428.497500","427.402200","428.231800","431.778800","431.622700","437.203000","437.473100","438.317300","434.147600","435.498900","433.295100","436.648400","440.662800","444.911900","445.511600","452.396800",,"544.982900","622.399900"
"5000","World","5060","Rice Cultivation","7225","CH4 emissions","gigagrams","17426.473000","18052.811700","18069.719100","18809.761700","18782.787400","19064.379300","19243.200400","19561.937600","19765.136800","20026.855300","20387.150600","20046.763800","20722.636800","20864.434400","21473.911100","21432.830000","21649.998800","21688.240600","21359.495300","21779.694200","21878.555600","21374.926100","21421.083300","21718.889900","21666.078000","21677.081600","21258.456200","21954.490800","22386.013900","22173.348100","22090.786800","22222.667900","22053.972400","22252.475800","22669.711800","22923.012500","23054.838400","22935.625700","23837.152000","23331.456000","23023.939000","22515.300800","22461.569600","22963.792200","23481.134800","23561.597400","23597.113100","24245.557000","24164.887000","24674.999100","24764.180700","24760.886400","25033.534600","24866.459200","24603.509300","24744.595900","25209.583000","25348.179400",,"23947.138300","23497.684600"
"5000","World","5060","Rice Cultivation","7231","Emissions (CO2eq)","gigagrams","365955.932500","379109.045700","379464.100100","395004.994700","394438.536300","400351.964500","404107.207900","410800.690300","415067.873300","420563.961300","428130.161800","420982.039100","435175.373500","438153.122800","450952.133500","450089.430100","454649.975600","455453.051600","448549.402200","457373.577800","459449.667900","448873.447200","449842.749800","456096.688200","454987.637900","455218.713100","446427.580200","461044.307000","470106.292400","465640.311100","463906.523000","466676.026200","463133.420000","467301.992600","476063.948800","481383.263500","484151.606300","481648.140400","500580.192100","489960.576600","483502.719700","472821.316900","471692.961000","482239.635400","493103.831700","494793.544700","495539.374800","509156.697900","507462.626900","518174.980700","520047.794300","519978.613800","525704.227300","522195.643300","516673.694300","519636.514200","529401.243300","532311.766800",,"502889.903400","493451.376600"
